Pond,Link,centriod,geometry,Area(sqm),Water_status
31,"https://www.google.com/maps?q=14.294997737955716,80.13395926521878","(14.294997737955716, 80.13395926521878)","POLYGON ((406555.035254161 1580545.0188437412, 406555.0344857189 1580554.9655142806, 406565.0344857202 1580554.9652576772, 406565.03448571905 1580554.9655142804, 406584.97411044803 1580554.9650919777, 406584.9743551798 1580554.964746099, 406584.9811562588 1580554.9647458394, 406624.96536238183 1580524.968606291, 406624.9655142809 1580495.0344857192, 406605.01884374116 1580495.0352541602, 406565.0346376204 1580525.0313937087, 406565.034586936 1580535.0195109665, 406555.035254161 1580545.0188437412))",300.0,1
32,"https://www.google.com/maps?q=14.292058198125975,80.13686326564567","(14.292058198125975, 80.13686326564567)","POLYGON ((406934.96551402047 1580195.0344856675, 406934.965514281 1580185.0344857192, 406875.03448571934 1580185.0344857194, 406875.0344857197 1580214.9655142806, 406934.96551428025 1580214.9655142806, 406934.96551428 1580195.0344857192, 406934.96551402047 1580195.0344856675))",200.0,1
33,"https://www.google.com/maps?q=14.296462047778796,80.1362463702418","(14.296462047778796, 80.1362463702418)","POLYGON ((406805.0352541602 1580685.0188437414, 406815.03139370924 1580714.9653623796, 406815.0344857208 1580714.9653622666, 406815.0344857188 1580714.9655142804, 406815.03524505295 1580714.965362239, 406834.98327675357 1580714.9646416663, 406843.54743622127 1580709.25638335, 406864.98115625867 1580704.9647458394, 406874.9999999994 1580685.736458663, 406864.9686062913 1580665.0346376204, 406864.9655142806 1580665.0346376838, 406864.96551428037 1580665.0344857194, 406864.9647458391 1580665.0344857418, 406864.9647458401 1580665.0188437414, 406845.01672324643 1580655.0353583335, 406825.00141654914 1580670.0455109542, 406815.0346376198 1580675.0313937087, 406815.0346280318 1580677.5199545042, 406805.0352541602 1580685.0188437414))",2600.0,1
34,"https://www.google.com/maps?q=14.308407234552666,80.13797329154194","(14.308407234552666, 80.13797329154194)","POLYGON ((406995.0352541602 1581995.0188437412, 406995.03525376495 1581995.0342295743, 406995.0344857194 1581995.0344857192, 406995.03448571876 1582024.9655142808, 407054.9811562592 1582034.9647458396, 407064.96474584134 1582024.9811562586, 407064.96474583936 1582024.9655142792, 407064.96551428107 1582024.9655142804, 407064.96551428083 1581985.0344857194, 407030.1923249034 1581985.0352416825, 407005.0188437425 1581985.0352541602, 406995.0352541602 1581995.0188437412))",2800.0,1
35,"https://www.google.com/maps?q=14.316451102496051,80.14158255996723","(14.316451102496051, 80.14158255996723)","POLYGON ((407415.0188437416 1582875.0352541602, 407395.0344857199 1582914.9655142806, 407434.98115625797 1582914.9647458396, 407444.96474583977 1582904.9811562581, 407444.96551428 1582875.0344857192, 407415.0188437416 1582875.0352541602))",1800.0,1
36,"https://www.google.com/maps?q=14.316303110345581,80.14273145115777","(14.316303110345581, 80.14273145115777)","POLYGON ((407574.96464166685 1582885.0167232465, 407554.9686062909 1582835.0346376204, 407535.0344857187 1582835.0344857192, 407525.0353583335 1582865.016723246, 407525.0344857193 1582914.9655142806, 407535.69940507005 1582914.9653091233, 407535.73645866395 1582915, 407564.98115625815 1582914.9647458394, 407574.964745839 1582904.9811562586, 407574.96464166685 1582885.0167232465))",3100.0,1
37,"https://www.google.com/maps?q=14.392594949409155,80.09986294143916","(14.392594949409155, 80.09986294143916)","POLYGON ((402925.03525416 1591295.0188437414, 402924.8369371215 1591345.810862081, 402915.0352541622 1591374.9811562584, 402925.0188437415 1591384.9647458391, 402944.98327675415 1591384.964641666, 402969.9790013239 1591374.9647509763, 402974.9832767536 1591374.964641666, 402982.49619598937 1591369.9570714398, 402994.96536237927 1591364.9686062909, 402994.5316190409 1591361.9351262774, 403004.9647458414 1591354.9811562586, 402984.96818726027 1591295.03181274, 402964.9832767555 1591285.0353583333, 402964.33650348336 1591285.035354959, 402964.26354133553 1591285, 402935.0188437409 1591285.0352541604, 402925.03525416 1591295.0188437414))",4800.0,1
38,"https://www.google.com/maps?q=14.394585001256766,80.10089660297723","(14.394585001256766, 80.10089660297723)","POLYGON ((403035.0346374662 1591535.072351556, 403035.0344857196 1591574.9655142806, 403035.1945067984 1591574.9655142808, 403035.195044399 1591575.099664776, 403045.018843742 1591584.9647458394, 403084.2635413378 1591584.9999999995, 403104.96536238 1591574.968606291, 403104.9646416666 1591545.0167232465, 403094.96860629116 1591525.0346376207, 403094.96551428107 1591525.035153514, 403094.96551428124 1591525.0344857192, 403055.01672324643 1591525.0353583335, 403035.03463762 1591535.0313937087, 403035.0346376082 1591535.0344603772, 403035.0344857198 1591535.0344857192, 403035.0346374662 1591535.072351556))",0.0,0
39,"https://www.google.com/maps?q=14.402836305295201,80.09887437147164","(14.402836305295201, 80.09887437147164)","POLYGON ((402874.9811562589 1592494.9647458391, 402884.96474583924 1592484.9811562586, 402884.96464166726 1592465.016723246, 402864.9811562591 1592435.0352541602, 402825.0346376207 1592445.0313937091, 402825.03463773197 1592445.034485722, 402825.03448572 1592445.0344857192, 402825.03535833315 1592464.9832767537, 402835.0309297518 1592484.9694282496, 402835.0335489094 1592484.9798915577, 402835.0387775921 1592484.9851200096, 402845.0313937087 1592504.96536238, 402874.96536237956 1592494.9686062906, 402874.96536232013 1592494.9647458396, 402874.9811562589 1592494.9647458391))",3100.0,1
40,"https://www.google.com/maps?q=14.410108486458782,80.09913428035041","(14.410108486458782, 80.09913428035041)","POLYGON ((402825.0352565445 1593245.0188413574, 402825.03525522747 1593245.0188426748, 402825.0344857196 1593274.9655142806, 402825.05347997486 1593274.9647856702, 402825.0413653944 1593295.0333377873, 402825.03448572004 1593295.0344857192, 402825.0408821539 1593295.833854619, 402825.0353590185 1593304.983270475, 402825.1160300414 1593305.2251613967, 402825.1950443977 1593315.099664776, 402830.02764679806 1593319.952574812, 402835.0344866549 1593334.965513345, 402894.98115776415 1593324.9647447737, 402913.89756431687 1593308.1665882121, 402944.9811474157 1593304.96474584, 402944.98115625826 1593304.9647458396, 402944.9811577642 1593304.9647447742, 402954.9647447737 1593294.9811577639, 402954.964745839 1593294.981156258, 402954.9647447744 1593294.9811509338, 402954.9646409815 1593265.016729525, 402934.9686060026 1593215.0346385888, 402925.74937315856 1593216.1878194266, 402924.9811562589 1593215.03525416, 402919.28778412304 1593216.9960624536, 402855.0167319217 1593225.0353589011, 402840.1701803537 1593234.9309960918, 402835.018843742 1593235.03525416, 402825.0352565445 1593245.0188413574))",4100.0,1
